task_id,flow_id,task_type,dataset_id,predictive_accuracy
75,58,Learning Curve,16,0.93525
72,77,Learning Curve,13,0.701398601
98,59,Learning Curve,40,0.741346154
85,61,Learning Curve,26,0.959876543
64,72,Learning Curve,4,0.649122807
80,67,Learning Curve,21,0.85787037
99,66,Learning Curve,41,0.698130841
81,57,Learning Curve,22,0.265
64,64,Learning Curve,4,0.845614035
94,59,Learning Curve,35,0.881693989
65,59,Learning Curve,5,0.70420354
85,66,Learning Curve,26,0.983634259
88,59,Learning Curve,29,0.851884058
82,64,Learning Curve,23,0.470739986
75,56,Learning Curve,16,0.1
116,64,Learning Curve,59,0.883760684
96,76,Learning Curve,37,0.759375
97,67,Learning Curve,39,0.80625
71,58,Learning Curve,12,0.9257
94,65,Learning Curve,35,0.957103825
96,77,Learning Curve,37,0.750651042
94,66,Learning Curve,35,0.942896175
81,56,Learning Curve,22,0.1
71,70,Learning Curve,12,0.9746
87,59,Learning Curve,28,0.908398577
82,67,Learning Curve,23,0.501900883
90,60,Learning Curve,31,0.7085
66,76,Learning Curve,7,0.753097345
99,62,Learning Curve,41,0.447663551
89,61,Learning Curve,30,0.968298922
85,56,Learning Curve,26,0.333333333
70,59,Learning Curve,11,0.8096
93,75,Learning Curve,34,0.703333333
72,65,Learning Curve,13,0.686013986
96,63,Learning Curve,37,0.756119792
75,67,Learning Curve,16,0.9224
98,66,Learning Curve,40,0.86875
68,60,Learning Curve,9,0.817073171
85,76,Learning Curve,26,0.973402778
64,66,Learning Curve,4,0.857894737
88,56,Learning Curve,29,0.555072464
69,62,Learning Curve,10,0.756756757
63,59,Learning Curve,3,0.991301627
68,67,Learning Curve,9,0.662439024
82,76,Learning Curve,23,0.536388323
80,60,Learning Curve,21,0.92037037
91,77,Learning Curve,32,0.922134279
83,75,Learning Curve,24,0.962592319
66,66,Learning Curve,7,0.784070796
87,60,Learning Curve,28,0.904982206
90,76,Learning Curve,31,0.7397
94,56,Learning Curve,35,0.306010929
80,64,Learning Curve,21,0.835821759
94,58,Learning Curve,35,0.975136612
83,60,Learning Curve,24,1
87,64,Learning Curve,28,0.86252669
96,66,Learning Curve,37,0.7046875
65,72,Learning Curve,5,0.542920354
69,74,Learning Curve,10,0.781756757
72,57,Learning Curve,13,0.66993007
72,72,Learning Curve,13,0.702797203
83,77,Learning Curve,24,0.982225505
89,62,Learning Curve,30,0.931299105
87,57,Learning Curve,28,0.26702847
66,77,Learning Curve,7,0.836725664
74,59,Learning Curve,15,0.955364807
121,79,Supervised Data Stream Classification,71,0.110562
120,79,Supervised Data Stream Classification,70,0.110562
122,83,Supervised Data Stream Classification,72,0.95668
120,78,Supervised Data Stream Classification,70,0.881167
122,78,Supervised Data Stream Classification,72,0.850984
124,78,Supervised Data Stream Classification,74,0.46173
123,83,Supervised Data Stream Classification,73,0.963433
124,79,Supervised Data Stream Classification,74,0.038406
120,81,Supervised Data Stream Classification,70,0.880207
120,80,Supervised Data Stream Classification,70,0.943215
122,80,Supervised Data Stream Classification,72,0.95074
123,81,Supervised Data Stream Classification,73,0.942069
123,78,Supervised Data Stream Classification,73,0.931166
124,80,Supervised Data Stream Classification,74,0.50951
120,83,Supervised Data Stream Classification,70,0.956694
121,80,Supervised Data Stream Classification,71,0.869707
126,80,Supervised Data Stream Classification,76,0.903868
126,79,Supervised Data Stream Classification,76,0.543528
125,80,Supervised Data Stream Classification,75,0.783377
122,81,Supervised Data Stream Classification,72,0.859152
127,79,Supervised Data Stream Classification,77,0.740043
126,78,Supervised Data Stream Classification,76,0.876834
128,79,Supervised Data Stream Classification,78,0.194939
127,83,Supervised Data Stream Classification,77,0.778979
123,79,Supervised Data Stream Classification,73,0.919266
125,81,Supervised Data Stream Classification,75,0.656211
125,83,Supervised Data Stream Classification,75,0.756707
125,79,Supervised Data Stream Classification,75,0.016737
127,82,Supervised Data Stream Classification,77,0.753731
127,80,Supervised Data Stream Classification,77,0.779244
121,78,Supervised Data Stream Classification,71,0.828723
121,81,Supervised Data Stream Classification,71,0.801157
128,83,Supervised Data Stream Classification,78,0.846701
120,82,Supervised Data Stream Classification,70,0.880227
124,81,Supervised Data Stream Classification,74,0.377949
127,81,Supervised Data Stream Classification,77,0.753299
123,80,Supervised Data Stream Classification,73,0.960658
126,83,Supervised Data Stream Classification,76,0.912064
125,82,Supervised Data Stream Classification,75,0.656893
130,79,Supervised Data Stream Classification,116,0.22028
130,81,Supervised Data Stream Classification,116,0.68916
131,81,Supervised Data Stream Classification,117,0.690522
85,72,Learning Curve,26,0.922283951
68,56,Learning Curve,9,0.326829268
96,61,Learning Curve,37,0.746614583
116,57,Learning Curve,59,0.815669516
74,63,Learning Curve,15,0.959513591
77,67,Learning Curve,18,0.6853
62,67,Learning Curve,2,0.925612472
75,76,Learning Curve,16,0.8812
97,59,Learning Curve,39,0.80297619
73,60,Learning Curve,14,0.7583
91,61,Learning Curve,32,0.952583697
126,81,Supervised Data Stream Classification,76,0.864725
63,62,Learning Curve,3,0.660513141
130,80,Supervised Data Stream Classification,116,0.711786
129,78,Supervised Data Stream Classification,115,0.955548
73,70,Learning Curve,14,0.8393
124,83,Supervised Data Stream Classification,74,0.442336
129,79,Supervised Data Stream Classification,115,0.176713
131,79,Supervised Data Stream Classification,117,0.218157
89,76,Learning Curve,30,0.972720629
70,70,Learning Curve,11,0.87536
87,70,Learning Curve,28,0.982651246
131,83,Supervised Data Stream Classification,117,0.511
68,72,Learning Curve,9,0.451707317
98,77,Learning Curve,40,0.779326923
129,80,Supervised Data Stream Classification,115,0.95448
95,76,Learning Curve,36,0.965930736
65,76,Learning Curve,5,0.725442478
115,57,Learning Curve,58,0.330808081
74,65,Learning Curve,15,0.957939914
91,62,Learning Curve,32,0.203875546
68,59,Learning Curve,9,0.746829268
69,57,Learning Curve,10,0.746621622
88,65,Learning Curve,29,0.848550725
83,76,Learning Curve,24,1
66,75,Learning Curve,7,0.46460177
128,80,Supervised Data Stream Classification,78,0.803501
91,59,Learning Curve,32,0.962336245
130,83,Supervised Data Stream Classification,116,0.505189
129,81,Supervised Data Stream Classification,115,0.81214
131,78,Supervised Data Stream Classification,117,0.76497
62,60,Learning Curve,2,0.926057906
81,64,Learning Curve,22,0.6253
115,66,Learning Curve,58,0.991717172
85,67,Learning Curve,26,0.902908951
71,76,Learning Curve,12,0.93855
129,82,Supervised Data Stream Classification,115,0.813535
122,79,Supervised Data Stream Classification,72,0.895489
160,78,Supervised Data Stream Classification,120,0.927366
170,78,Supervised Data Stream Classification,130,0.806274
162,83,Supervised Data Stream Classification,122,0.902587
159,79,Supervised Data Stream Classification,119,0.262153
128,78,Supervised Data Stream Classification,78,0.853035
171,78,Supervised Data Stream Classification,131,0.935076
168,79,Supervised Data Stream Classification,128,0.585094
170,80,Supervised Data Stream Classification,130,0.86324
127,78,Supervised Data Stream Classification,77,0.752778
