,task_id,flow_id,associated
1184,158,85,0
1185,54,70,1
1186,2230,81,0
1187,159,80,0
1188,2245,101,1
1189,2154,97,1
1190,170,82,0
1191,91,61,1
1192,2216,85,1
1193,2228,87,0
1194,175,96,1
1195,2222,86,1
1196,2179,79,0
1197,190,81,0
1198,2209,99,1
1199,2193,98,0
1200,2192,81,0
1201,2131,84,0
1202,2212,98,1
1203,184,85,1
1204,63,85,0
1205,183,94,1
1206,74,98,0
1207,2158,90,0
1208,2251,97,0
1209,171,98,1
1210,2249,79,0
1211,172,95,1
1212,2252,97,0
1213,192,83,1
1214,38,65,1
1215,2194,92,0
1216,48,62,1
1217,2183,103,0
1218,159,101,0
1219,2154,72,0
1220,160,79,1
1221,2179,91,1
1222,2154,98,1
1223,200,106,1
1224,178,83,0
1225,190,85,0
1226,120,58,0
1227,2189,85,0
1228,2126,95,1
1229,169,80,0
1230,116,58,0
1231,2173,92,1
1232,2224,83,1
1233,2237,87,0
1234,2170,94,1
1235,2174,101,1
1236,2243,82,1
1237,30,64,1
1238,2197,82,0
1239,2183,82,0
1240,62,66,0
1241,187,57,0
1242,2128,58,0
1243,2219,78,1
1244,68,60,0
1245,2218,92,0
1246,89,72,1
1247,2245,65,0
1248,2130,57,0
1249,2201,88,0
1250,2157,97,0
1251,2198,83,1
1252,179,90,1
1253,2178,83,0
1254,38,67,1
1255,2168,94,1
1256,21,57,1
1257,184,81,0
1258,2243,103,0
1259,2178,93,1
1260,120,97,0
1261,181,78,1
1262,2201,95,1
1263,192,84,1
1264,2173,96,1
1265,2235,103,0
1266,2207,62,0
1267,2172,95,1
1268,54,79,0
1269,2214,103,0
1270,182,80,0
1271,178,84,1
1272,2171,59,0
1273,96,108,0
1274,164,92,1
1275,162,80,1
1276,27,61,1
1277,2204,91,1
1278,193,93,1
1279,1757,56,1
1280,2168,81,0
1281,24,86,0
1282,124,91,1
1283,186,82,0
1284,2166,87,0
1285,1,76,1
1286,2232,95,1
1287,2163,105,1
1288,39,63,1
1289,2131,79,1
1290,121,78,1
1291,195,106,1
1292,2186,85,0
1293,99,75,1
1294,163,98,0
1295,2235,84,1
1296,2133,82,0
1297,3,58,1
1298,191,87,1
1299,26,92,0
1300,163,79,1
1301,2174,78,1
1302,192,66,0
1303,162,79,0
1304,192,76,0
1305,200,82,0
1306,2222,106,0
1307,2203,63,0
1308,2241,108,1
1309,2181,80,1
1310,2175,95,1
1311,2239,98,1
1312,198,85,0
1313,2181,83,0
1314,2149,103,0
1315,2209,93,0
1316,2221,108,1
1317,2152,101,1
1318,2190,93,0
1319,125,101,1
1320,2134,81,1
1321,2152,79,0
1322,2149,82,1
1323,165,74,0
1324,184,74,0
1325,2134,79,0
1326,182,93,0
1327,2194,79,0
1328,2130,81,1
1329,41,65,1
1330,2215,85,1
1331,172,94,0
1332,35,76,1
1333,2236,94,1
1334,2179,87,1
1335,2194,106,0
1336,2165,97,1
1337,165,85,1
1338,2245,87,1
1339,98,70,0
1340,2243,87,0
1341,167,106,0
1342,198,98,0
1343,174,59,0
1344,65,60,1
1345,159,80,0
1346,163,98,0
1347,2244,80,1
1348,162,85,0
1349,2164,91,1
1350,94,94,0
1351,2178,106,1
1352,125,78,1
1353,2169,84,0
1354,160,86,1
1355,2216,81,1
1356,177,85,1
1357,129,106,0
1358,2150,95,1
1359,2222,79,0
1360,2200,93,0
1361,2150,87,1
1362,2220,78,0
1363,2240,97,0
1364,123,78,1
1365,185,105,0
1366,2162,99,1
1367,2171,78,1
1368,2169,93,0
1369,124,76,0
1370,27,96,0
1371,2172,93,0
1372,192,81,1
1373,2206,108,1
1374,53,94,0
1375,128,87,0
1376,2210,81,1
1377,130,91,0
1378,131,79,1
1379,26,85,0
1380,2207,79,1
1381,127,85,0
1382,2198,106,1
1383,2220,103,0
1384,2216,79,0
1385,99,59,0
1386,2193,101,1
1387,2130,93,0
1388,99,98,0
1389,195,80,0
1390,2189,96,1
1391,2218,87,1
1392,2168,95,1
1393,2252,99,1
1394,2132,103,0
1395,2128,80,0
1396,171,99,0
1397,1712,66,1
1398,2168,105,0
1399,122,97,0
1400,163,92,1
1401,180,106,0
1402,2199,78,1
1403,2198,82,0
1404,168,103,1
1405,12,96,0
1406,158,80,1
1407,174,96,1
1408,127,82,0
1409,2174,87,1
1410,124,79,0
1411,2236,81,1
1412,175,79,0
1413,2154,82,0
1414,94,66,1
1415,159,74,0
1416,128,97,1
1417,82,79,0
1418,2174,57,0
1419,49,57,1
1420,2133,106,1
1421,172,92,1
1422,2204,92,0
1423,2246,84,1
1424,99,66,1
1425,2149,106,1
1426,164,78,1
1427,2157,93,1
1428,180,91,1
1429,52,61,1
1430,188,96,0
1431,195,99,1
1432,31,64,0
1433,2221,95,0
1434,2221,78,1
1435,185,57,0
1436,2154,78,1
1437,29,70,1
1438,2164,96,1
1439,2166,81,0
1440,2220,87,1
1441,1714,90,0
1442,21,66,1
1443,2225,86,0
1444,2164,105,1
1445,2245,94,1
1446,163,108,1
1447,2173,72,0
1448,2214,78,0
1449,2246,81,0
1450,2202,87,0
1451,2247,81,1
1452,197,84,0
1453,193,96,0
1454,2207,67,0
1455,2174,67,0
1456,200,75,0
1457,80,60,1
1458,2225,101,0
1459,172,108,1
1460,36,65,1
1461,2195,103,0
1462,2224,93,1
1463,2209,97,1
1464,2198,85,0
1465,88,83,0
1466,2193,103,1
1467,2173,81,1
1468,2226,101,0
1469,2248,108,1
1470,2209,79,0
1471,2204,90,1
1472,2229,85,1
1473,2171,108,0
1474,191,79,0
1475,189,99,1
1476,2173,101,1
1477,196,97,0
1478,2235,105,0
1479,10,67,1
1480,2201,81,1
1481,2212,99,0
1482,39,76,1
1483,2171,97,1
1484,2184,101,0
1485,2133,80,0
1486,2157,90,0
1487,2198,90,1
1488,2153,87,1
1489,2176,99,0
1490,2,79,0
1491,24,57,0
1492,9,65,1
1493,2212,97,0
1494,2153,56,0
1495,69,99,0
1496,2191,63,0
1497,2170,87,0
1498,181,87,1
1499,71,93,0
1500,2151,62,0
1501,2187,82,0
1502,2182,95,0
1503,120,93,1
1504,2183,59,0
1505,2239,94,1
1506,198,97,0
1507,168,61,0
1508,65,101,0
1509,2228,82,1
1510,123,80,1
1511,2178,103,1
1512,195,108,1
1513,2207,91,0
1514,158,94,0
1515,2127,93,1
1516,2241,79,1
1517,186,91,1
1518,2126,91,0
1519,2168,95,0
1520,2214,86,1
1521,2226,108,0
1522,2163,93,1
1523,2172,106,1
1524,16,59,1
1525,2173,83,1
1526,2189,79,1
1527,2224,91,1
1528,2217,85,0
1529,2191,81,0
1530,2180,96,0
1531,167,106,1
1532,2168,103,1
1533,79,76,1
1534,94,90,0
1535,48,72,1
1536,161,98,1
1537,2249,106,1
1538,187,92,1
1539,168,91,0
1540,128,58,0
1541,2197,98,0
1542,2213,95,1
1543,128,91,0
1544,190,91,1
1545,121,98,1
1546,59,67,1
1547,172,94,0
1548,15,56,1
1549,79,99,0
1550,2192,80,0
1551,2201,82,0
1552,2226,105,0
1553,2164,93,1
1554,2149,78,1
1555,68,64,1
1556,186,92,1
1557,91,60,1
1558,1714,61,1
1559,2156,79,0
